"id_order","brand_accesories"
241423,"LaCie - accessories"
243330,"OWC - accessories"
245275,"Tado - accessories"
245595,"Pack - accessories"
246018,"iFixit - accessories"
246018,"Tucano - accessories"
246018,"iFixit - accessories"
247524,"Crucial - accessories"
250275,"Apple - extended warranty"
251302,"Apple - accessories"
251688,"Bose - accessories"
251688,"Apple - accessories"
251688,"Apple - accessories"
251688,"Apple - other"
253220,"LG - display"
253220,"Apple - accessories"
253220,"Apple - accessories"
253220,"LaCie - accessories"
253306,"Apple - smartwhatch"
253306,"Apple - accessories"
253307,"LaCie - accessories"
253307,"Allocacoc - accessories"
253307,"Wowewa - accessories"
253307,"SanDisk - accessories"
254301,"Apple - accessories"
254341,"Be.ez - accessories"
254341,"Satechi - accessories"
254441,"LMP - accessories"
254816,"Apple - accessories"
254816,"LaCie - accessories"
254816,"Satechi - accessories"
256799,"Mophie - accessories"
258530,"Griffin - accessories"
259192,"Seagate - accessories"
259192,"Seagate - accessories"
259283,"Pack - accessories"
259668,"Apple - smartphone"
260615,"QNAP - accessories"
261656,"Satechi - accessories"
261978,"NewerTech - accessories"
262016,"OWC - accessories"
262236,"OWC - accessories"
262236,"OWC - accessories"
263733,"Wacom - tablet"
263738,"Belkin - accessories"
263996,"Crucial - accessories"
265951,"SanDisk - accessories"
265954,"LaCie - accessories"
265954,"Kingston - accessories"
265968,"Apple - smartphone"
266727,"Philips - accessories"
266727,"Western Digital - accessories"
267014,"OWC - accessories"
267194,"iFixit - accessories"
267375,"Puro - accessories"
268234,"Philips - accessories"
268234,"Philips - accessories"
269440,"Belkin - accessories"
269440,"LaCie - accessories"
274043,"Griffin - accessories"
274550,"Moshi - accessories"
277363,"Satechi - accessories"
277367,"LG - display"
278926,"Apple - smartphone"
278926,"iOttie - accessories"
278926,"Otterbox - accessories"
278926,"X-Doria - accessories"
279632,"Western Digital - accessories"
279891,"Thule - accessories"
280008,"NewerTech - accessories"
280008,"Apple - accessories"
281302,"Startech - accessories"
281492,"iOttie - accessories"
281492,"Apple - accessories"
281497,"Apple - accessories"
282776,"Elgato - accessories"
284739,"OWC - accessories"
284739,"Apple - accessories"
284739,"LaCie - accessories"
285098,"Apple - extended warranty"
285115,"Seagate - accessories"
285115,"OWC - accessories"
285582,"TrackR - accessories"
286974,"Samsung - accessories"
287311,"SanDisk - accessories"
287733,"Satechi - accessories"
288502,"Kingston - accessories"
288502,"Apple - other"
288567,"Satechi - accessories"
289028,"Samsung - accessories"
290393,"Apple - extended warranty"
290393,"Apple - accessories"
290393,"iFixit - accessories"
290755,"Pack - accessories"
291147,"Satechi - accessories"
292183,"Plantronics - accessories"
293164,"Apple - extended warranty"
294278,"LaCie - accessories"
294377,"Apple - smartphone"
294617,"Thule - accessories"
294699,"Apple - accessories"
295347,"Apple - accessories"
295723,"Otterbox - accessories"
296010,"Tucano - accessories"
296229,"Apple - accessories"
296253,"NewerTech - accessories"
296253,"OWC - accessories"
296253,"Pack - accessories"
296253,"NewerTech - accessories"
296436,"Apple - smartwhatch"
296478,"Apple - laptop"
296478,"LMP - accessories"
296611,"FCM - accessories"
296847,"SanDisk - accessories"
297076,"Muvit - accessories"
297200,"Apple - accessories"
297220,"Western Digital - accessories"
297765,"Apple - laptop"
297809,"iFixit - accessories"
298038,"OWC - accessories"
298038,"iFixit - accessories"
298038,"Samsung - accessories"
298038,"Seagate - accessories"
298161,"Apple - extended warranty"
298161,"Apple - accessories"
298211,"Hyper Pearl - accessories"
298391,"Apple - extended warranty"
298506,"LMP - accessories"
298617,"SanDisk - accessories"
298643,"Griffin - accessories"
298859,"ZaggKeys - accessories"
298923,"Apple - accessories"
299404,"NewerTech - accessories"
299404,"OWC - accessories"
299404,"Samsung - accessories"
299404,"Kingston - accessories"
299466,"Apple - smartphone"
299545,"OWC - accessories"
299546,"iOttie - accessories"
299561,"Pebble - smartwhatch"
299564,"Satechi - accessories"
299571,"Synology - accessories"
299571,"Western Digital - accessories"
299578,"Logitech - accessories"
299597,"Pebble - smartwhatch"
299600,"Apple - accessories"
299600,"LaCie - accessories"
299609,"Parrot - accessories"
299610,"Apple - accessories"
299610,"Apple - accessories"
299634,"Synology - accessories"
299634,"Western Digital - accessories"
299637,"Toshiba - accessories"
299655,"Wacom - tablet"
299655,"Wacom - accessories"
299659,"Thule - accessories"
299672,"Apple - laptop"
299681,"Apple - accessories"
299696,"Jaybird - accessories"
299696,"SanDisk - accessories"
299701,"Thule - accessories"
299704,"Apple - accessories"
299710,"Philips - accessories"
299710,"Philips - accessories"
299723,"Macally - accessories"
299736,"Wacom - tablet"
299737,"JBL - accessories"
299744,"Apple - laptop"
299776,"BenQ - display"
299792,"Synology - accessories"
299803,"Toshiba - accessories"
299807,"iFixit - accessories"
299808,"LaCie - accessories"
299811,"SanDisk - accessories"
299815,"Logitech - accessories"
299825,"Logitech - accessories"
299829,"LaCie - accessories"
299833,"Kingston - accessories"
299847,"Apple - accessories"
299850,"Apple - accessories"
299858,"Satechi - accessories"
299859,"Pack - accessories"
299867,"Satechi - accessories"
299867,"Philips - accessories"
299869,"Belkin - accessories"
299870,"Blue Microphones - accessories"
299887,"Spek SeeThru - accessories"
299891,"OWC - accessories"
299902,"iOttie - accessories"
299909,"LaCie - accessories"
299910,"Wacom - tablet"
299918,"Seagate - accessories"
299918,"SanDisk - accessories"
299939,"Philips - accessories"
299944,"Samsung - accessories"
299944,"OWC - accessories"
